Service Provider,Technology,Test_type,Data Speed(Mbps),Signal_strength,LSA
VODAFONE,4G,Download,0.7,-106,Delhi
VODAFONE,4G,Download,1.21,-111,Delhi
VODAFONE,3G,Download,0.25,-87,Delhi
VODAFONE,4G,Download,0.35,-111,Delhi
VODAFONE,4G,Download,1.24,-101,Delhi
VODAFONE,4G,Download,1.25,-105,Delhi
VODAFONE,4G,Upload,5.06,-97,Delhi
VODAFONE,4G,Upload,13.76,-72,UP West
VODAFONE,4G,Upload,0.02,-106,Delhi
VODAFONE,4G,Upload,0.73,-108,Delhi
VODAFONE,3G,Upload,0.36,-87,Delhi
VODAFONE,4G,Upload,1.23,-114,Delhi
VODAFONE,4G,Upload,0.08,-103,Delhi
VODAFONE,4G,Upload,2.06,-107,Delhi
JIO,4G,Download,33.76,-74,Madhya Pradesh
JIO,4G,Upload,7.5,-74,Madhya Pradesh
AIRTEL,4G,Download,0.32,-97,Assam
AIRTEL,4G,Download,0.19,-96,Assam
AIRTEL,4G,Download,1.06,-105,Assam
AIRTEL,4G,Download,2.74,-97,Assam
AIRTEL,4G,Download,0.0,-96,Assam
AIRTEL,4G,Download,11.1,-111,Assam
AIRTEL,4G,Upload,2.4,-97,Assam
AIRTEL,4G,Upload,0.71,-96,Assam
AIRTEL,4G,Upload,0.5,-108,Assam
AIRTEL,4G,Upload,2.2,-97,Assam
AIRTEL,4G,Upload,0.72,-96,Assam
AIRTEL,4G,Upload,1.22,-110,Assam
JIO,4G,Upload,6.39,-90,Tamil Nadu
IDEA,4G,Download,4.83,-99,Tamil Nadu
IDEA,4G,Upload,5.03,-101,Tamil Nadu
JIO,4G,Download,48.37,-81,Himachal Pradesh
JIO,4G,Download,35.98,-81,Himachal Pradesh
JIO,4G,Download,35.16,-81,Himachal Pradesh
JIO,4G,Upload,9.41,-81,Himachal Pradesh
JIO,4G,Upload,9.24,-81,Himachal Pradesh
JIO,4G,Upload,9.76,-81,Himachal Pradesh
JIO,4G,Download,0.76,-98,Tamil Nadu
JIO,4G,Download,0.49,-99,Tamil Nadu
JIO,4G,Download,0.39,-98,Tamil Nadu
JIO,4G,Download,0.54,-101,Tamil Nadu
JIO,4G,Upload,0.93,-98,Tamil Nadu
JIO,4G,Upload,1.02,-96,Tamil Nadu
JIO,4G,Upload,1.14,-98,Tamil Nadu
JIO,4G,Upload,1.72,-101,Tamil Nadu
JIO,4G,Download,44.94,-75,UP West
JIO,4G,Upload,2.48,-75,UP West
VODAFONE,4G,Download,4.4,-114,Gujarat
VODAFONE,4G,Download,8.24,-109,Gujarat
VODAFONE,4G,Upload,1.82,-113,Gujarat
VODAFONE,4G,Upload,0.23,-109,Gujarat
JIO,4G,Download,1.79,-107,Tamil Nadu
JIO,4G,Download,5.44,-105,Tamil Nadu
JIO,4G,Download,4.18,-104,Tamil Nadu
JIO,4G,Download,1.13,-111,Tamil Nadu
JIO,4G,Upload,0.69,-107,Tamil Nadu
JIO,4G,Upload,0.35,-104,Tamil Nadu
JIO,4G,Upload,0.39,-106,Tamil Nadu
JIO,4G,Upload,0.07,-110,Tamil Nadu
JIO,4G,Download,11.21,-78,Tamil Nadu
JIO,4G,Upload,5.61,-78,Tamil Nadu
JIO,4G,Download,22.28,-68,Haryana
JIO,4G,Upload,11.58,-68,Haryana
JIO,4G,Download,84.91,-80,Madhya Pradesh
JIO,4G,Download,78.63,-80,Madhya Pradesh
JIO,4G,Download,79.19,-80,Madhya Pradesh
JIO,4G,Download,90.64,-80,Madhya Pradesh
JIO,4G,Download,90.54,-80,Madhya Pradesh
JIO,4G,Download,1.97,-79,UP West
JIO,4G,Download,5.1,-100,UP West
JIO,4G,Download,0.57,na,UP West
JIO,4G,Download,2.34,na,UP West
JIO,4G,Download,0.56,na,UP West
JIO,4G,Download,3.36,na,UP West
JIO,4G,Download,2.79,na,UP West
JIO,4G,Download,2.62,na,UP West
JIO,4G,Download,4.22,na,UP West
JIO,4G,Download,0.67,na,UP West
JIO,4G,Download,0.26,na,UP West
JIO,4G,Download,0.3,na,UP West
JIO,4G,Download,3.99,na,UP West
JIO,4G,Download,2.34,na,UP West
JIO,4G,Download,2.56,na,UP West
JIO,4G,Download,4.52,na,UP West
JIO,4G,Download,5.58,na,UP West
JIO,4G,Download,7.75,na,UP West
JIO,4G,Download,3.75,na,UP West
JIO,4G,Download,2.95,na,UP West
JIO,4G,Download,3.67,na,UP West
JIO,4G,Download,4.99,-98,UP West
JIO,4G,Download,3.85,na,UP West
JIO,4G,Download,2.6,na,UP West
JIO,4G,Download,2.12,na,UP West
JIO,4G,Download,4.65,-93,UP West
JIO,4G,Download,2.19,na,UP West
JIO,4G,Download,9.62,na,UP West
JIO,4G,Download,4.05,na,UP West
JIO,4G,Download,2.44,-102,UP West
JIO,4G,Upload,4.43,-79,UP West
JIO,4G,Upload,2.18,na,UP West
JIO,4G,Upload,0.13,na,UP West
JIO,4G,Upload,5.75,na,UP West
JIO,4G,Upload,1.02,na,UP West
JIO,4G,Upload,1.13,na,UP West
JIO,4G,Upload,1.24,na,UP West
JIO,4G,Upload,0.06,na,UP West
JIO,4G,Upload,0.07,na,UP West
JIO,4G,Upload,4.32,na,UP West
JIO,4G,Upload,0.19,na,UP West
JIO,4G,Upload,0.44,na,UP West
JIO,4G,Upload,4.98,na,UP West
JIO,4G,Upload,5.51,na,UP West
JIO,4G,Upload,0.08,na,UP West
JIO,4G,Upload,0.73,na,UP West
JIO,4G,Upload,5.39,na,UP West
JIO,4G,Upload,5.53,na,UP West
JIO,4G,Upload,6.62,na,UP West
JIO,4G,Upload,4.56,na,UP West
JIO,4G,Upload,8.07,na,UP West
JIO,4G,Upload,2.72,-98,UP West
JIO,4G,Upload,1.52,na,UP West
JIO,4G,Upload,5.24,na,UP West
JIO,4G,Upload,2.09,na,UP West
JIO,4G,Upload,1.59,na,UP West
JIO,4G,Upload,1.87,na,UP West
JIO,4G,Upload,6.69,na,UP West
JIO,4G,Upload,1.49,na,UP West
JIO,4G,Upload,1.06,na,UP West
JIO,4G,Download,35.27,-59,UP West
JIO,4G,Upload,3.9,-59,UP West
JIO,4G,Download,8.61,-97,Andhra Pradesh
JIO,4G,Download,6.68,-97,Andhra Pradesh
JIO,4G,Upload,5.1,-98,Andhra Pradesh
